hiragana,katakana,romaji,consonant,vowel
あ,ア,a,,a
い,イ,i,,i
う,ウ,u,,u
え,エ,e,,e
お,オ,o,,o
か,カ,ka,k,a
き,キ,ki,k,i
く,ク,ku,k,u
け,ケ,ke,k,e
こ,コ,ko,k,o
さ,サ,sa,s,a
し,シ,shi,s,i
す,ス,su,s,u
せ,セ,se,s,e
そ,ソ,so,s,o
た,タ,ta,t,a
ち,チ,chi,t,i
つ,ツ,tsu,t,u
て,テ,te,t,e
と,ト,to,t,o
な,ナ,na,n,a
に,ニ,ni,n,i
ぬ,ヌ,nu,n,u
ね,ネ,ne,n,e
の,ノ,no,n,o
は,ハ,ha,h,a
ひ,ヒ,hi,h,i
ふ,フ,fu,h,u
へ,ヘ,he,h,e
ほ,ホ,ho,h,o
ま,マ,ma,m,a
み,ミ,mi,m,i
む,ム,mu,m,u
め,メ,me,m,e
も,モ,mo,m,o
や,ヤ,ya,y,a
ゆ,ユ,yu,y,u
よ,ヨ,yo,y,o
ら,ラ,ra,r,a
り,リ,ri,r,i
る,ル,ru,r,u
れ,レ,re,r,e
ろ,ロ,ro,r,o
わ,ワ,wa,w,a
ゐ,ヰ,wi,w,i
ゑ,ヱ,we,w,e
を,ヲ,wo,w,o
ん,ン,n,n,
